,,,,,,,,,,,,,,,(As on 17.02.2019),,,,,,,,,,,,,,,,,,,
,CENTRAL ELECTRICITY AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUEL MANAGEMENT DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAILY COAL STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COAL STOCK POSITION FOR COAL LINKAGE BASED THERMAL POWER STATIONS IN THE COUNTRY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Region/State,Mode of Transport,Name of Thermal Power Station,Sector,Capacity   (MW),"PLF % (Jan, 2019)","PLF % (Apr,18-Jan,19)",Normative Stock Reqd. (Days),Requirement for the day (In '000 Tonnes'),Actual Stock,,,,Critical(*)/Super Critical(**) as per Trigger level & other conditions,Reasons for critical coal stock/Remarks,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,In '000 Tonnes',,,In Days,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Indigenous,Import,Total,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,
,Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,RAIL,INDIRA GANDHI STPP,JV,1500,66.0,57.9,25,14.95,9.51,0,9.51,1,,CIL supply to NTPC 98 % of prorata ACQ,,,,,,,,,,,,,,,,,,,
,2,RAIL,MAHATMA GANDHI TPS,P,1320,72.6,59.0,25,13.05,202.71,0,202.71,16,,,,,,,,,,,,,,,,,,,,,
,3,RAIL,PANIPAT TPS,S,920,43.6,44.8,25,8.07,94.57,0,94.57,12,,,,,,,,,,,,,,,,,,,,,
,4,RAIL,RAJIV GANDHI TPS,S,1200,23.0,43.0,25,10.88,300.19,0,300.19,28,,,,,,,,,,,,,,,,,,,,,
,5,RAIL,YAMUNA NAGAR TPS,S,600,89.4,59.8,25,8.48,133.7,0,133.7,16,,,,,,,,,,,,,,,,,,,,,
,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,RAIL,GH TPS (LEH.MOH.),S,920,4.3,36.1,30,7.40,333.76,0,333.76,45,,,,,,,,,,,,,,,,,,,,,
,7,RAIL,GOINDWAL SAHIB TPP,P,540,64.4,47.9,30,6.27,2.29,0,2.29,0,,CIL supply 89% of prorata ACQ,,,,,,,,,,,,,,,,,,,
,8,RAIL,RAJPURA TPP,P,1400,85.8,76.6,30,14.18,94.8,29.3,124.1,9,,,,,,,,,,,,,,,,,,,,,
,9,RAIL,ROPAR TPS,S,840,0.0,21.7,25,7.42,315.84,0,315.84,43,,,,,,,,,,,,,,,,,,,,,
,10,RAIL,TALWANDI SABO TPP,P,1980,63.7,63.1,25,17.81,203.49,53.24,256.73,14,,,,,,,,,,,,,,,,,,,,,
,Rajasthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,RAIL,CHHABRA TPP,S,1660,78.3,81.7,30,5.98,37.46,0,37.46,6,,"Total coal stock (Linkage + Captive) available with the plant as on 31.01.2019 is  2,59,800 Tonnes.",,,,,,,,,,,,,,,,,,,
,12,RAIL,KAWAI TPS,P,1320,78.9,63.9,30,19.94,14.24,12.57,26.81,1,,CIL Supply 90% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,13,RAIL,KOTA TPS,S,1240,83.9,75.1,30,13.82,111.36,0,111.36,8,,,,,,,,,,,,,,,,,,,,,
,14,RAIL,SURATGARH TPS,S,1500,67.8,59.5,30,12.26,131.71,0,131.71,11,,,,,,,,,,,,,,,,,,,,,
,Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,PITHEAD,ANPARA C TPS,P,1200,76.6,80.7,15,12.58,21.6,0,21.6,2,,CIL Supply 129% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,16,PITHEAD,ANPARA TPS,S,2630,87.0,87.3,15,35.94,391.72,0,391.72,11,,,,,,,,,,,,,,,,,,,,,
,17,RAIL,BARKHERA TPS,P,90,0.0,22.5,25,0.77,7.24,0,7.24,9,,,,,,,,,,,,,,,,,,,,,
,18,RAIL,DADRI (NCTPP),C,1820,63.9,69.3,30,17.26,146.5,0,146.5,8,,,,,,,,,,,,,,,,,,,,,
,19,RAIL,HARDUAGANJ TPS,S,605,59.3,62.5,25,4.88,100,0,100,20,,,,,,,,,,,,,,,,,,,,,
,20,RAIL,KHAMBARKHERA TPS,P,90,0.0,21.4,30,0.77,7.63,0,7.63,10,,,,,,,,,,,,,,,,,,,,,
,21,RAIL,KUNDARKI TPS,P,90,0.0,30.8,30,0.77,6.22,0,6.22,8,,,,,,,,,,,,,,,,,,,,,
,22,RAIL,LALITPUR TPS,P,1980,11.5,37.0,30,15.91,267.87,0,267.87,17,,,,,,,,,,,,,,,,,,,,,
,23,RAIL,MAQSOODPUR TPS,P,90,0.0,21.4,30,0.77,5.03,0,5.03,7,,,,,,,,,,,,,,,,,,,,,
,24,RAIL,OBRA TPS,S,1094,45.3,37.0,20,11.93,269.03,0,269.03,23,,,,,,,,,,,,,,,,,,,,,
,25,RAIL,PARICHHA TPS,S,1140,51.7,50.9,30,10.12,64.59,0,64.59,6,*,CIL Supply to UPRVUNL 85% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,26,RAIL,PRAYAGRAJ TPP,P,1980,44.2,45.3,25,16.62,41.96,0,41.96,3,,CIL Supply 77% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,27,PITHEAD,RIHAND STPS,C,3000,89.0,85.5,15,33.67,1116.86,0,1116.86,33,,,,,,,,,,,,,,,,,,,,,
,28,RAIL,ROSA TPP Ph-I,P,1200,7.3,45.2,25,9.95,630.49,0,630.49,63,,,,,,,,,,,,,,,,,,,,,
,29,PITHEAD,SINGRAULI STPS,C,2000,87.8,83.3,15,27.01,548.45,0,548.45,20,,,,,,,,,,,,,,,,,,,,,
,30,RAIL,TANDA TPS,C,440,78.2,69.9,25,4.40,362.14,0,362.14,82,,,,,,,,,,,,,,,,,,,,,
,31,RAIL,UNCHAHAR TPS,C,1550,73.8,72.9,25,14.57,434.6,0,434.6,30,,,,,,,,,,,,,,,,,,,,,
,32,RAIL,UTRAULA TPS,P,90,0.0,29.7,30,0.77,8.29,0,8.29,11,,,,,,,,,,,,,,,,,,,,,
,Total of Northern Region,,,,38029,,,24,379.21,6415.85,95.11,6510.96,17,1,,,,,,,,,,,,,,,,,,,,
,Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chhatisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,RAIL,AKALTARA TPS,P,1800,38.3,51.1,15,15.44,75.12,2.2,77.32,5,,Coal supply as per payment,,,,,,,,,,,,,,,,,,,
,34,RAIL,BALCO TPS,P,600,74.0,53.2,15,5.62,18.26,0,18.26,3,,CIL Supply 94% of prorata ACQ,,,,,,,,,,,,,,,,,,,
,35,ROAD,BANDAKHAR TPP,P,300,6.7,79.1,15,5.30,159.82,0,159.82,30,,,,,,,,,,,,,,,,,,,,,
,36,RAIL,BARADARHA TPS,P,1200,67.4,64.4,15,13.59,241.22,0,241.22,18,,,,,,,,,,,,,,,,,,,,,
,37,RAIL,BHILAI TPS,JV,500,48.9,76.3,20,6.84,93.49,0,93.49,14,,,,,,,,,,,,,,,,,,,,,
,38,RAIL,DSPM TPS,S,500,54.6,88.0,15,6.00,129.38,0,129.38,22,,,,,,,,,,,,,,,,,,,,,
,39,PITHEAD,KORBA-II,S,440,31.8,39.9,15,5.62,10.02,0,10.02,2,,Supply to CSPGCL 99% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,40,PITHEAD,KORBA STPS,C,2600,83.5,86.6,15,39.07,134.68,0,134.68,3,,CIL supply to NTPC 98 % of prorata ACQ,,,,,,,,,,,,,,,,,,,
,41,PITHEAD,KORBA-WEST TPS,S,1340,79.6,81.2,15,18.52,271.74,0,271.74,15,,,,,,,,,,,,,,,,,,,,,
,42,RAIL,MARWA TPS,S,1000,37.4,76.7,15,8.60,191.8,0,191.8,22,,,,,,,,,,,,,,,,,,,,,
,43,RAIL,NAWAPARA TPP,P,600,49.3,60.9,15,6.37,35.56,0,35.56,6,,CIL Supply 77% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,44,RAIL,PATHADI TPP,P,600,77.0,82.0,15,6.83,21.71,0,21.71,3,,CIL Supply 83% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,45,PITHEAD,SIPAT STPS,C,2980,79.3,91.2,15,40.82,283.2,0,283.2,7,,,,,,,,,,,,,,,,,,,,,
,46,RAIL,TAMNAR TPP,P,2400,50.7,39.0,20,17.42,17.08,0,17.08,1,,CIL Supply 87% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,47,RAIL,UCHPINDA TPP,P,1080,10.2,30.8,15,9.27,26.91,0,26.91,3,,CIL Supply 75% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,RAIL,GANDHI NAGAR TPS,S,630,50.9,70.4,30,7.17,201.99,22.79,224.78,31,,,,,,,,,,,,,,,,,,,,,
,49,RAIL,SABARMATI (C STATION),P,422,68.6,74.8,30,4.56,13.75,60.95,74.7,4,*,CIL Supply 86% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,50,RAIL,UKAI TPS,S,1110,67.9,70.0,30,11.09,323.89,2.47,326.36,29,,,,,,,,,,,,,,,,,,,,,
,51,RAIL,WANAKBORI TPS,S,1470,67.2,69.7,30,12.79,235.35,15.1,250.45,20,,,,,,,,,,,,,,,,,,,,,
,Madhya Pradesh,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
,52,PITHEAD,AMARKANTAK EXT TPS,S,210,99.2,88.2,15,2.76,35.65,0,35.65,13,,,,,,,,,,,,,,,,,,,,,
,53,RAIL,ANUPPUR TPP,P,1200,66.0,63.8,25,10.86,28,0,28,3,,CIL Supply 75% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,54,RAIL,BINA TPS,P,500,61.7,57.0,25,5.24,46.52,0,46.52,9,,,,,,,,,,,,,,,,,,,,,
,55,RAIL,SANJAY GANDHI TPS,S,1340,79.2,74.8,20,15.03,60.67,0,60.67,4,,CIL supply to MPPGCL 90% prorata ACQ,,,,,,,,,,,,,,,,,,,
,56,RAIL,SATPURA TPS,S,1330,71.5,62.5,20,15.47,140.85,0,140.85,9,,,,,,,,,,,,,,,,,,,,,
,57,RAIL,SEIONI TPP,P,600,59.6,45.8,20,6.08,14.83,0,14.83,2,,CIL Supply 86% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,58,RAIL,SHREE SINGAJI TPP,S,1860,60.4,58.3,20,21.73,105.34,3.6,108.94,5,,CIL supply to MPPGCL 90% prorata ACQ,,,,,,,,,,,,,,,,,,,
,59,PITHEAD,VINDHYACHAL STPS,C,4760,88.4,90.1,15,61.13,1983.45,0,1983.45,32,,,,,,,,,,,,,,,,,,,,,
,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,RAIL,AMARAVATI TPS,P,1350,4.7,39.7,20,10.60,594.54,55.95,650.49,61,,,,,,,,,,,,,,,,,,,,,
,61,RAIL,BHUSAWAL TPS,S,1210,60.5,61.9,20,14.31,199.27,0,199.27,14,,,,,,,,,,,,,,,,,,,,,
,62,RAIL,BUTIBORI TPP,P,600,19.4,50.3,20,4.95,5.51,0,5.51,1,,CIL Supply 94% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,63,RAIL,CHANDRAPUR(MAHARASHTRA) STPS,S,2920,81.9,61.1,20,38.69,267.92,0,267.92,7,,,,,,,,,,,,,,,,,,,,,
,64,RAIL,DAHANU TPS,P,500,52.1,82.9,25,5.69,150.86,54.51,205.37,33,,,,,,,,,,,,,,,,,,,,,
,65,RAIL,DHARIWAL TPP,P,600,43.4,64.9,20,4.36,62.12,14.7,76.82,18,,,,,,,,,,,,,,,,,,,,,
,66,RAIL,GMR WARORA TPS,P,600,77.2,71.1,20,7.71,8.6,4.2,12.8,2,**,CIL Supply 68% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,67,RAIL,KHAPARKHEDA TPS,S,1340,76.7,61.0,25,21.14,75.49,0,75.49,4,*,CIL Supply to MAHAGENCO 84% prorata ACQ,,,,,,,,,,,,,,,,,,,
,68,RAIL,KORADI TPS,S,2400,47.8,36.9,25,23.27,75.49,0,75.49,3,**,CIL Supply to MAHAGENCO 84% prorata ACQ,,,,,,,,,,,,,,,,,,,
,69,RAIL,MAUDA TPS,C,2320,64.6,57.7,20,21.73,394.29,0,394.29,18,,,,,,,,,,,,,,,,,,,,,
,70,RAIL,NASIK TPS,S,630,32.0,44.4,25,6.59,94.8,0,94.8,14,,,,,,,,,,,,,,,,,,,,,
,71,RAIL,PARAS TPS,S,500,43.3,63.3,25,4.86,97.34,0,97.34,20,,,,,,,,,,,,,,,,,,,,,
,72,RAIL,PARLI TPS,S,1170,6.5,32.1,25,11.23,236.52,0,236.52,21,,,,,,,,,,,,,,,,,,,,,
,73,RAIL,SOLAPUR,C,660,0.0,36.8,25,5.66,161.99,7.49,169.48,30,,,,,,,,,,,,,,,,,,,,,
,74,RAIL,TIRORA TPS,P,3300,83.7,72.9,20,36.43,422.92,18.32,441.24,12,,,,,,,,,,,,,,,,,,,,,
,75,ROAD,WARDHA WARORA TPP,P,540,0.0,26.5,20,4.63,40.64,0,40.64,9,,,,,,,,,,,,,,,,,,,,,
,Total of Western Region,,,,54012,,,20,601.06,7788.58,262.28,8050.86,13,4,,,,,,,,,,,,,,,,,,,,
,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,RAIL,DAMODARAM SANJEEVAIAH TPS,S,1600,33.3,49.5,20,12.49,123.26,9.16,132.42,11,,,,,,,,,,,,,,,,,,,,,
,77,RAIL,Dr. N.TATA RAO TPS,S,1760,65.1,71.1,20,19.68,542.22,0,542.22,28,,,,,,,,,,,,,,,,,,,,,
,78,RAIL,PAINAMPURAM TPP,P,1320,44.3,73.7,20,9.36,53.69,19.37,73.06,8,,,,,,,,,,,,,,,,,,,,,
,79,RAIL,RAYALASEEMA TPS,S,1650,40.4,43.8,25,11.98,220.01,0,220.01,18,,,,,,,,,,,,,,,,,,,,,
,80,RAIL,SIMHADRI,C,2000,77.2,68.9,25,24.01,0,33.92,33.92,1,,CIL supply to NTPC 98 % of prorata ACQ,,,,,,,,,,,,,,,,,,,
,81,RAIL,VIZAG TPP,P,1040,8.3,9.5,25,10.81,12.06,3.34,15.4,1,,Supply kept in abeyance by MCL due to APERC order dated 31.01.2018,,,,,,,,,,,,,,,,,,,
,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,RAIL,BELLARY TPS,S,1700,35.5,25.0,30,13.73,227.42,0,227.42,17,,,,,,,,,,,,,,,,,,,,,
,83,RAIL,KUDGI STPP,C,2400,53.0,35.8,30,17.33,94.35,2.92,97.27,6,,CIL supply to NTPC 98 % of prorata ACQ,,,,,,,,,,,,,,,,,,,
,84,RAIL,RAICHUR TPS,S,1720,44.9,56.1,30,15.60,396,0,396,25,,,,,,,,,,,,,,,,,,,,,
,85,RAIL,YERMARUS TPP,S,1600,0.0,6.7,30,6.83,43.54,0,43.54,6,,Bridge linkage,,,,,,,,,,,,,,,,,,,
,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,INTER MODAL,METTUR TPS,S,840,75.7,68.1,30,12.46,57.82,46.39,104.21,8,,,,,,,,,,,,,,,,,,,,,
,87,INTER MODAL,METTUR TPS - II,S,600,75.7,68.1,30,7.59,62.05,34.48,96.53,13,,,,,,,,,,,,,,,,,,,,,
,88,INTER MODAL,NORTH CHENNAI TPS,S,1830,58.4,65.2,30,17.93,25.51,55.52,81.02,5,,CIL Supply to TANGEDCO 85% prorata ACQ,,,,,,,,,,,,,,,,,,,
,89,RAIL,TUTICORIN (JV) TPP,JV,1000,57.3,66.7,30,8.61,290.1,97.27,387.37,45,,,,,,,,,,,,,,,,,,,,,
,90,INTER MODAL,TUTICORIN TPS,S,1050,60.7,68.1,30,12.03,204.85,8.03,212.88,18,,,,,,,,,,,,,,,,,,,,,
,91,INTER MODAL,VALLUR TPP,JV,1500,50.2,55.5,30,14.42,174.56,0,174.56,12,,,,,,,,,,,,,,,,,,,,,
,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,PITHEAD,KAKATIYA TPS,S,1100,39.2,80.4,15,12.84,279.27,0,279.27,22,,,,,,,,,,,,,,,,,,,,,
,93,RAIL,KOTHAGUDEM TPS,S,720,47.8,59.9,20,8.12,289.6,0,289.6,36,,,,,,,,,,,,,,,,,,,,,
,94,RAIL,KOTHAGUDEM TPS (NEW),S,1000,76.8,85.8,20,13.26,424.97,0,424.97,32,,,,,,,,,,,,,,,,,,,,,
,95,RAIL,KOTHAGUDEM TPS (STAGE-7),S,800,76.8,85.8,20,8.68,207.12,0,207.12,24,,,,,,,,,,,,,,,,,,,,,
,96,PITHEAD,RAMAGUNDEM STPS,C,2600,83.8,81.3,15,32.17,569.42,0,569.42,18,,,,,,,,,,,,,,,,,,,,,
,Total of Southern Region,,,,29830,,,25,289.92,4297.82,310.40,4608.21,16,0,,,,,,,,,,,,,,,,,,,,
,Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,RAIL,BARH II,C,1320,92.9,86.9,20,17.04,389.98,0.2,390.18,23,,,,,,,,,,,,,,,,,,,,,
,98,PITHEAD,KAHALGAON TPS,C,2340,85.8,80.5,15,33.57,419,0,419,12,,,,,,,,,,,,,,,,,,,,,
,99,RAIL,MUZAFFARPUR TPS,JV,610,69.7,54.5,20,7.06,64.78,0,64.78,9,,,,,,,,,,,,,,,,,,,,,
,100,RAIL,NABI NAGAR TPP,JV,500,94.6,56.0,20,6.90,76.29,0,76.29,11,,,,,,,,,,,,,,,,,,,,,
,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,RAIL,BOKARO `B` TPS,C,710,61.7,56.6,20,5.46,163.03,0,163.03,30,,,,,,,,,,,,,,,,,,,,,
,102,RAIL,CHANDRAPURA(DVC) TPS,C,630,60.2,68.4,20,4.93,132.26,0,132.26,27,,,,,,,,,,,,,,,,,,,,,
,103,RAIL,KODARMA TPP,C,1000,76.2,69.4,20,11.97,141.29,0,141.29,12,,,,,,,,,,,,,,,,,,,,,
,104,RAIL,MAITHON RB TPP,JV,1050,75.1,78.0,20,11.79,414.27,17.23,431.5,37,,,,,,,,,,,,,,,,,,,,,
,105,ROAD,TENUGHAT TPS,S,420,39.5,46.7,20,4.05,144.78,0,144.78,36,,,,,,,,,,,,,,,,,,,,,
,Odisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,PITHEAD,IB VALLEY TPS,S,420,89.3,83.9,15,7.17,51.84,0,51.84,7,,,,,,,,,,,,,,,,,,,,,
,107,RAIL,KAMALANGA TPS,P,1050,71.6,74.7,20,9.74,381.79,22.23,404.02,41,,,,,,,,,,,,,,,,,,,,,
,108,PITHEAD,TALCHER (OLD) TPS,C,460,84.5,88.1,15,9.25,175.2,0,175.2,19,,,,,,,,,,,,,,,,,,,,,
,109,PITHEAD,TALCHER STPS,C,3000,77.5,78.8,15,52.57,60.43,5,65.43,1,,CIL supply to NTPC 98 % of prorata ACQ,,,,,,,,,,,,,,,,,,,
,West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,RAIL,BAKRESWAR TPS,S,1050,81.0,75.6,20,12.13,104.64,0,104.64,9,,,,,,,,,,,,,,,,,,,,,
,111,RAIL,BANDEL TPS,S,330,37.8,44.7,20,4.38,22.26,0,22.26,5,,CIL Supply to WBPDCL 98% prorata ACQ,,,,,,,,,,,,,,,,,,,
,112,RAIL,BUDGE BUDGE TPS,P,750,90.4,91.9,20,9.80,159.25,0,159.25,16,,,,,,,,,,,,,,,,,,,,,
,113,RAIL,D.P.L. TPS,S,660,48.8,43.6,25,5.47,20.05,0,20.05,4,,CIL Supply to WBPDCL 98% prorata ACQ,,,,,,,,,,,,,,,,,,,
,114,RAIL,DURGAPUR STEEL TPS,C,1000,78.9,70.2,20,10.95,120.66,0,120.66,11,,,,,,,,,,,,,,,,,,,,,
,115,RAIL,DURGAPUR TPS,C,210,84.3,55.0,20,1.92,135.68,0,135.68,71,,,,,,,,,,,,,,,,,,,,,
,116,PITHEAD,FARAKKA STPS,C,2100,88.2,80.8,15,25.73,79.38,0,79.38,3,,CIL supply to NTPC 98 % of prorata ACQ,,,,,,,,,,,,,,,,,,,
,117,RAIL,HALDIA TPP,P,600,66.1,89.7,20,7.38,75.85,6.55,82.4,11,,,,,,,,,,,,,,,,,,,,,
,118,RAIL,KOLAGHAT TPS,S,1260,39.0,41.6,25,13.12,97.56,0,97.56,7,,,,,,,,,,,,,,,,,,,,,
,119,RAIL,MEJIA TPS,C,2340,68.7,59.7,20,28.90,74.72,0,74.72,3,,CIL Supply to DVC 103% of prorata ACQ.,,,,,,,,,,,,,,,,,,,
,120,RAIL,RAGHUNATHPUR TPP,C,1200,30.8,27.0,15,9.88,95.48,0,95.48,10,,,,,,,,,,,,,,,,,,,,,
,121,RAIL,SAGARDIGHI TPS,S,1600,28.7,53.6,20,13.05,65.86,0,65.86,5,,CIL Supply to WBPDCL 98% prorata ACQ,,,,,,,,,,,,,,,,,,,
,122,RAIL,SANTALDIH TPS,S,500,69.8,78.2,20,7.19,167.93,0,167.93,23,,,,,,,,,,,,,,,,,,,,,
,123,RAIL,SOUTHERN REPL. TPS,P,135,12.8,26.1,20,1.24,31.15,0,31.15,25,,,,,,,,,,,,,,,,,,,,,
,124,RAIL,TITAGARH TPS,P,240,0.0,0.0,20,2.06,14.02,0,14.02,7,,,,,,,,,,,,,,,,,,,,,
,Total of Eastern Region,,,,27485,,,19,334.72,3879.43,51.21,3930.64,12,0,,,,,,,,,,,,,,,,,,,,
,North Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,RAIL,BONGAIGAON TPP,C,500,63.9,63.5,20,4.42,71.28,0,71.28,16,,,,,,,,,,,,,,,,,,,,,
,Total of North Eastern Region,,,,500,,,20,4.42,71.28,0.00,71.28,16,0,,,,,,,,,,,,,,,,,,,,
,Region-wise/All India total,,,,149856,,,22,1609.33,22452.96,719,23171.95,14,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pithead Plants,,,,,Mode,No. of Plants,Capacity (MW),Daily Req ('000 T),Total Stock ('000 T),Total Stock (in Days),,,,,,,,,,,,,,,,,,,,,,
,,(*) No. of plants with Critical Stock (<5 Days),,,0,,Pithead,17,33180,450.4,6436.9,14,,,,,,,,,,,,,,,,,,,,,,
,,(**) No. of plants with Super Critical Stock (<3 Days),,,0,,Non-Pithead,108,116676,1158.9,16735.0,14,,,,,,,,,,,,,,,,,,,,,,
,,Non-Pithead ,,,,,TOTAL,125,149856,1609.3,23172.0,14,,,,,,,,,,,,,,,,,,,,,,
,,(*) No. of plants with Critical Stock (<7 Days),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(**) No. of plants with Super Critical Stock (<4 Days) ,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTE: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(i) % Materialisation (including Deemed Delivery) as per CIL is for the period 01.04.2018 to 31.01.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(ii) Power Plants having less coal stock due to outstanding dues/ supply more than committed quantity/ not lifting offered coal/Bridge linkage/New Linkage are not  shown as having critical /supercritical coal stock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(iii) Daily coal requirement is based on the maximum of the requirement for average actual consumption  of the plant for last 7 days or requirement for installed capacity of plant at 55%PLF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C:Central Sector; S: State Sector; P: Private Sector; JV: Joint Venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
